
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [09/Jan/2025:18:39:38 +0000] - 30.076 ms localhost
GET /favicon.ico 304 [09/Jan/2025:18:39:38 +0000] - 7.587 ms localhost
POST /user/login 200 [09/Jan/2025:18:39:50 +0000] - 195.411 ms localhost
GET /services/dashboard.component.css.map 404 [09/Jan/2025:18:39:50 +0000] - 8.584 ms localhost
GET /services/layout.component.css.map 404 [09/Jan/2025:18:39:50 +0000] - 12.470 ms localhost
GET /services/user-services.component.css.map 404 [09/Jan/2025:18:39:53 +0000] - 3.643 ms localhost
GET /service/services?isApproved=true 304 [09/Jan/2025:18:39:53 +0000] - 65.324 ms localhost
GET /service/uploads/ 400 [09/Jan/2025:18:39:53 +0000] - 48.457 ms localhost
GET /service/name/Event%20Coverage 200 [09/Jan/2025:18:39:56 +0000] - 42.650 ms localhost
GET /services/user-service-details.component.css.map 404 [09/Jan/2025:18:39:56 +0000] - 3.321 ms localhost
GET /service/uploads/1735019370508_videographyimage.jpg 304 [09/Jan/2025:18:39:56 +0000] - 72.936 ms localhost
GET /service/uploads/1735019370509_videographyimage.jpg 304 [09/Jan/2025:18:39:56 +0000] - 58.800 ms localhost
GET /service/uploads/1735019370511_preweddingshoot.jpeg 304 [09/Jan/2025:18:39:56 +0000] - 40.584 ms localhost
GET /booking/service/Event%20Coverage/673ac7d8306657184e800578 304 [09/Jan/2025:18:39:58 +0000] - 51.249 ms localhost
GET /services/details 200 [09/Jan/2025:18:42:02 +0000] - 11.486 ms localhost
GET / - [09/Jan/2025:18:42:02 +0000] - - ms localhost
GET /@vite/client 304 [09/Jan/2025:18:42:02 +0000] - 4.410 ms localhost
GET /styles.css 200 [09/Jan/2025:18:42:02 +0000] - 7.369 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:42:02 +0000] - 12.433 ms localhost
GET /main.js 200 [09/Jan/2025:18:42:02 +0000] - 20.189 ms localhost
GET /styles.css.map 200 [09/Jan/2025:18:42:02 +0000] - 4.869 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [09/Jan/2025:18:42:02 +0000] - 4.588 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [09/Jan/2025:18:42:03 +0000] - 7.383 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [09/Jan/2025:18:42:03 +0000] - 8.688 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [09/Jan/2025:18:42:03 +0000] - 23.203 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [09/Jan/2025:18:42:03 +0000] - 30.319 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [09/Jan/2025:18:42:03 +0000] - 33.059 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [09/Jan/2025:18:42:03 +0000] - 48.100 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [09/Jan/2025:18:42:03 +0000] - 49.983 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [09/Jan/2025:18:42:03 +0000] - 111.104 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:42:03 +0000] - 208.855 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [09/Jan/2025:18:42:03 +0000] - 200.672 ms localhost
GET /services/login.component.css.map 404 [09/Jan/2025:18:42:03 +0000] - 46.502 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [09/Jan/2025:18:42:03 +0000] - 232.813 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [09/Jan/2025:18:42:03 +0000] - 262.445 ms localhost
GET /favicon.ico 304 [09/Jan/2025:18:42:03 +0000] - 3.830 ms localhost
POST /user/login 200 [09/Jan/2025:18:42:11 +0000] - 132.253 ms localhost
GET /services/dashboard.component.css.map 404 [09/Jan/2025:18:42:11 +0000] - 6.401 ms localhost
GET /services/layout.component.css.map 404 [09/Jan/2025:18:42:11 +0000] - 6.595 ms localhost
GET /services/user-services.component.css.map 404 [09/Jan/2025:18:42:16 +0000] - 2.877 ms localhost
GET /service/uploads/ 400 [09/Jan/2025:18:42:16 +0000] - 35.531 ms localhost
GET /service/services?isApproved=true 304 [09/Jan/2025:18:42:16 +0000] - 91.355 ms localhost
GET /service/name/Catering 304 [09/Jan/2025:18:42:18 +0000] - 38.446 ms localhost
GET /services/user-service-details.component.css.map 404 [09/Jan/2025:18:42:18 +0000] - 5.476 ms localhost
GET /service/uploads/1735722969405_chinesecuisine.jpg 304 [09/Jan/2025:18:42:18 +0000] - 59.181 ms localhost
GET /service/uploads/1735722969363_buffetservice.webp 304 [09/Jan/2025:18:42:18 +0000] - 43.534 ms localhost
GET /booking/service/Catering/673ac7d8306657184e800578 304 [09/Jan/2025:18:42:20 +0000] - 54.292 ms localhost
GET / - [09/Jan/2025:18:46:03 +0000] - - ms localhost
GET /services/details 200 [09/Jan/2025:18:46:30 +0000] - 7.812 ms localhost
GET /@vite/client 304 [09/Jan/2025:18:46:30 +0000] - 4.562 ms localhost
GET /styles.css 200 [09/Jan/2025:18:46:30 +0000] - 7.877 ms localhost
GET /main.js 200 [09/Jan/2025:18:46:30 +0000] - 12.974 ms localhost
GET /polyfills.js 304 [09/Jan/2025:18:46:30 +0000] - 20.940 ms localhost
