GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 304 [23/Nov/2024:12:49:14 +0000] - 823.550 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:12:49:14 +0000] - 396.879 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [23/Nov/2024:12:49:14 +0000] - 376.188 ms localhost
POST /user/login 200 [23/Nov/2024:12:49:32 +0000] - 215.745 ms localhost
POST /user/verifyOtp 404 [23/Nov/2024:12:49:47 +0000] - 9.761 ms localhost
GET / - [23/Nov/2024:12:53:12 +0000] - - ms localhost
GET / 200 [23/Nov/2024:13:01:12 +0000] - 138.201 ms localhost
GET /@vite/client 304 [23/Nov/2024:13:01:12 +0000] - 16.276 ms localhost
GET /polyfills.js 304 [23/Nov/2024:13:01:12 +0000] - 12.689 ms localhost
GET /main.js 304 [23/Nov/2024:13:01:12 +0000] - 13.003 ms localhost
GET /styles.css 200 [23/Nov/2024:13:01:13 +0000] - 7.298 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:13:01:13 +0000] - 4.495 ms localhost
GET /styles.css.map 200 [23/Nov/2024:13:01:13 +0000] - 7.385 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-AG2PCX34.js.map 304 [23/Nov/2024:13:01:13 +0000] - 88.005 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:13:01:13 +0000] - 95.908 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:13:01:13 +0000] - 171.444 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:13:01:13 +0000] - 46.603 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:13:01:13 +0000] - 53.317 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [23/Nov/2024:13:01:13 +0000] - 86.467 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-IWPSFZO5.js.map 304 [23/Nov/2024:13:01:14 +0000] - 270.672 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:13:01:14 +0000] - 264.400 ms localhost
GET /login.component.css.map 200 [23/Nov/2024:13:01:14 +0000] - 222.749 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-EHVSD3XR.js.map 304 [23/Nov/2024:13:01:14 +0000] - 593.567 ms localhost
POST /user/login 504 [23/Nov/2024:13:07:22 +0000] - 82691.692 ms localhost
POST /user/login - [23/Nov/2024:13:09:45 +0000] - - ms localhost
POST /user/login - [23/Nov/2024:13:10:44 +0000] - - ms localhost
POST /user/login - [23/Nov/2024:13:11:25 +0000] - - ms localhost
GET / 200 [23/Nov/2024:13:11:36 +0000] - 15.612 ms localhost
GET /styles.css 200 [23/Nov/2024:13:11:37 +0000] - 9.314 ms localhost
GET /@vite/client 304 [23/Nov/2024:13:11:37 +0000] - 12.082 ms localhost
GET /polyfills.js 304 [23/Nov/2024:13:11:37 +0000] - 3.449 ms localhost
GET /main.js 200 [23/Nov/2024:13:11:37 +0000] - 5.432 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [23/Nov/2024:13:11:37 +0000] - 4.803 ms localhost
POST /user/login - [23/Nov/2024:13:14:12 +0000] - - ms localhost
GET /styles.css 200 [23/Nov/2024:13:14:19 +0000] - 11.754 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [23/Nov/2024:13:14:19 +0000] - 42.627 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [23/Nov/2024:13:14:19 +0000] - 41.707 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [23/Nov/2024:13:14:19 +0000] - 55.287 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [23/Nov/2024:13:14:19 +0000] - 70.325 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [23/Nov/2024:13:14:19 +0000] - 71.948 ms localhost
GET /login.component.css.map 200 [23/Nov/2024:13:14:19 +0000] - 5.685 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-Y7KSPQPP.js.map 304 [23/Nov/2024:13:14:19 +0000] - 43.132 ms localhost
